transaction_id,customer_id,product,category,quantity,price,purchase_date
1,C036,Phone,Electronics,1,400,2025-01-19
2,C028,Chair,Home,2,120,2025-01-07
3,C008,Laptop,Electronics,3,600,2025-04-30
4,C035,Phone,Electronics,5,400,2025-04-29
5,C042,Shoes,Fashion,2,60,2025-05-17
6,C013,Headphones,Electronics,4,50,2025-03-04
7,C016,Shirt,Fashion,2,25,2025-04-02
8,C035,Chair,Home,1,120,2025-06-20
9,C027,Phone,Electronics,1,400,2025-04-15
10,C015,Shoes,Fashion,5,60,2025-06-27
11,C042,Shoes,Fashion,1,60,2025-06-10
12,C044,Shirt,Fashion,3,25,2025-02-18
13,C005,Shoes,Fashion,4,60,2025-02-03
14,C030,Book,Books,2,15,2025-02-14
15,C050,Headphones,Electronics,3,50,2025-05-22
16,C007,Shirt,Fashion,5,25,2025-03-06
17,C043,Shirt,Fashion,2,25,2025-02-13
18,C042,Laptop,Electronics,3,600,2025-02-13
19,C003,Mixer,Home,1,80,2025-04-28
20,C045,Headphones,Electronics,3,50,2025-06-29
21,C013,Mixer,Home,1,80,2025-05-21
22,C032,Chair,Home,1,120,2025-04-22
23,C039,Mixer,Home,4,80,2025-05-04
24,C015,Mixer,Home,3,80,2025-05-02
25,C037,Laptop,Electronics,2,600,2025-01-20
26,C026,Mixer,Home,3,80,2025-02-22
27,C020,Mixer,Home,3,80,2025-01-06
28,C004,Chair,Home,4,120,2025-03-28
29,C015,Book,Books,3,15,2025-06-01
30,C018,Phone,Electronics,2,400,2025-03-02
31,C014,Chair,Home,5,120,2025-04-27
32,C037,Mixer,Home,3,80,2025-06-09
33,C018,Shirt,Fashion,4,25,2025-02-08
34,C012,Headphones,Electronics,2,50,2025-05-01
35,C039,Chair,Home,5,120,2025-05-26
36,C037,Phone,Electronics,2,400,2025-06-08
37,C009,Mixer,Home,4,80,2025-03-10
38,C029,Mixer,Home,5,80,2025-06-06
39,C031,Mixer,Home,1,80,2025-01-26
40,C032,Mixer,Home,1,80,2025-02-09
41,C026,Laptop,Electronics,2,600,2025-06-23
42,C022,Chair,Home,1,120,2025-01-25
43,C040,Mixer,Home,2,80,2025-03-17
44,C032,Phone,Electronics,5,400,2025-01-08
45,C035,Laptop,Electronics,4,600,2025-01-25
46,C033,Chair,Home,4,120,2025-06-03
47,C022,Phone,Electronics,3,400,2025-05-06
48,C039,Chair,Home,1,120,2025-03-15
49,C021,Laptop,Electronics,5,600,2025-03-13
50,C005,Shoes,Fashion,5,60,2025-02-10
51,C030,Shoes,Fashion,2,60,2025-02-19
52,C029,Headphones,Electronics,5,50,2025-01-22
53,C013,Chair,Home,2,120,2025-06-29
54,C012,Headphones,Electronics,4,50,2025-06-04
55,C029,Shirt,Fashion,4,25,2025-02-16
56,C034,Book,Books,4,15,2025-03-10
57,C016,Headphones,Electronics,3,50,2025-02-17
58,C018,Headphones,Electronics,5,50,2025-01-01
59,C021,Shoes,Fashion,1,60,2025-05-07
60,C006,Phone,Electronics,4,400,2025-05-14
61,C002,Shoes,Fashion,5,60,2025-06-09
62,C027,Phone,Electronics,5,400,2025-05-15
63,C018,Phone,Electronics,2,400,2025-04-10
64,C010,Mixer,Home,1,80,2025-04-10
65,C001,Headphones,Electronics,3,50,2025-06-09
66,C023,Shirt,Fashion,4,25,2025-02-04
67,C029,Laptop,Electronics,3,600,2025-04-28
68,C005,Headphones,Electronics,4,50,2025-01-29
69,C013,Shirt,Fashion,5,25,2025-03-21
70,C014,Mixer,Home,3,80,2025-04-01
71,C041,Chair,Home,3,120,2025-04-16
72,C040,Laptop,Electronics,5,600,2025-03-08
73,C013,Headphones,Electronics,1,50,2025-02-13
74,C040,Chair,Home,3,120,2025-06-16
75,C012,Phone,Electronics,1,400,2025-06-02
76,C007,Phone,Electronics,3,400,2025-01-16
77,C030,Shirt,Fashion,4,25,2025-04-01
78,C036,Headphones,Electronics,2,50,2025-03-04
79,C035,Laptop,Electronics,2,600,2025-06-13
80,C001,Shoes,Fashion,5,60,2025-04-01
81,C001,Headphones,Electronics,1,50,2025-01-06
82,C022,Book,Books,5,15,2025-01-01
83,C021,Chair,Home,2,120,2025-01-30
84,C003,Mixer,Home,2,80,2025-03-05
85,C014,Laptop,Electronics,2,600,2025-02-21
86,C001,Laptop,Electronics,4,600,2025-05-12
87,C010,Laptop,Electronics,4,600,2025-03-07
88,C046,Laptop,Electronics,1,600,2025-01-24
89,C020,Book,Books,1,15,2025-02-23
90,C014,Book,Books,1,15,2025-02-26
91,C014,Chair,Home,2,120,2025-01-04
92,C015,Laptop,Electronics,3,600,2025-06-22
93,C047,Headphones,Electronics,2,50,2025-06-26
94,C038,Laptop,Electronics,2,600,2025-02-15
95,C019,Laptop,Electronics,1,600,2025-03-26
96,C033,Book,Books,3,15,2025-01-01
97,C048,Chair,Home,1,120,2025-02-07
98,C006,Laptop,Electronics,4,600,2025-06-20
99,C041,Chair,Home,4,120,2025-03-01
100,C011,Mixer,Home,5,80,2025-02-06
101,C030,Chair,Home,3,120,2025-01-15
102,C047,Shirt,Fashion,5,25,2025-02-28
103,C001,Laptop,Electronics,1,600,2025-01-08
104,C043,Chair,Home,4,120,2025-04-17
105,C006,Headphones,Electronics,4,50,2025-04-06
106,C025,Chair,Home,1,120,2025-01-23
107,C021,Shoes,Fashion,5,60,2025-02-04
108,C048,Shirt,Fashion,1,25,2025-05-25
109,C043,Mixer,Home,4,80,2025-03-02
110,C007,Shirt,Fashion,2,25,2025-04-18
111,C021,Shirt,Fashion,2,25,2025-02-03
112,C020,Shirt,Fashion,2,25,2025-06-04
113,C019,Chair,Home,1,120,2025-03-01
114,C019,Shirt,Fashion,2,25,2025-06-18
115,C031,Phone,Electronics,5,400,2025-05-05
116,C018,Shoes,Fashion,3,60,2025-03-20
117,C037,Phone,Electronics,3,400,2025-03-12
118,C039,Headphones,Electronics,3,50,2025-04-29
119,C028,Book,Books,3,15,2025-03-24
120,C030,Laptop,Electronics,1,600,2025-05-31
121,C033,Mixer,Home,5,80,2025-01-19
122,C003,Laptop,Electronics,2,600,2025-05-01
123,C027,Mixer,Home,2,80,2025-01-08
124,C027,Phone,Electronics,5,400,2025-06-17
125,C011,Headphones,Electronics,5,50,2025-02-05
126,C041,Laptop,Electronics,3,600,2025-03-12
127,C003,Phone,Electronics,2,400,2025-01-01
128,C002,Laptop,Electronics,5,600,2025-01-28
129,C047,Chair,Home,1,120,2025-06-12
130,C011,Shoes,Fashion,3,60,2025-05-15
131,C026,Book,Books,3,15,2025-03-05
132,C017,Shirt,Fashion,1,25,2025-05-10
133,C049,Headphones,Electronics,4,50,2025-02-27
134,C035,Headphones,Electronics,1,50,2025-03-08
135,C006,Chair,Home,1,120,2025-03-13
136,C039,Book,Books,1,15,2025-01-08
137,C005,Phone,Electronics,4,400,2025-05-11
138,C039,Book,Books,4,15,2025-03-06
139,C011,Headphones,Electronics,4,50,2025-06-28
140,C006,Shoes,Fashion,4,60,2025-03-21
141,C038,Shirt,Fashion,5,25,2025-04-15
142,C037,Phone,Electronics,5,400,2025-04-26
143,C003,Headphones,Electronics,2,50,2025-02-03
144,C044,Laptop,Electronics,4,600,2025-06-12
145,C024,Mixer,Home,1,80,2025-01-09
146,C038,Mixer,Home,5,80,2025-06-26
147,C021,Headphones,Electronics,4,50,2025-02-23
148,C013,Chair,Home,4,120,2025-04-29
149,C015,Headphones,Electronics,1,50,2025-04-26
150,C043,Headphones,Electronics,1,50,2025-04-21
151,C035,Headphones,Electronics,2,50,2025-05-29
152,C019,Headphones,Electronics,4,50,2025-03-15
153,C003,Mixer,Home,4,80,2025-03-04
154,C042,Phone,Electronics,3,400,2025-05-26
155,C035,Shoes,Fashion,1,60,2025-04-19
156,C033,Chair,Home,3,120,2025-02-20
157,C043,Headphones,Electronics,2,50,2025-03-25
158,C044,Mixer,Home,5,80,2025-05-27
159,C002,Shirt,Fashion,4,25,2025-06-28
160,C023,Headphones,Electronics,4,50,2025-02-17
161,C006,Chair,Home,3,120,2025-02-22
162,C031,Mixer,Home,5,80,2025-02-05
163,C026,Headphones,Electronics,5,50,2025-02-12
164,C012,Phone,Electronics,5,400,2025-02-21
165,C009,Chair,Home,1,120,2025-03-04
166,C010,Shoes,Fashion,1,60,2025-04-26
167,C023,Laptop,Electronics,4,600,2025-03-02
168,C003,Book,Books,4,15,2025-05-09
169,C002,Headphones,Electronics,1,50,2025-02-14
170,C045,Shirt,Fashion,2,25,2025-03-19
171,C025,Mixer,Home,1,80,2025-04-02
172,C004,Mixer,Home,2,80,2025-03-23
173,C006,Shoes,Fashion,1,60,2025-01-30
174,C006,Chair,Home,3,120,2025-04-06
175,C032,Mixer,Home,5,80,2025-02-01
176,C001,Book,Books,2,15,2025-03-22
177,C047,Laptop,Electronics,5,600,2025-03-21
178,C011,Headphones,Electronics,4,50,2025-06-12
179,C039,Phone,Electronics,1,400,2025-03-25
180,C041,Headphones,Electronics,5,50,2025-01-08
181,C037,Mixer,Home,1,80,2025-02-19
182,C028,Chair,Home,2,120,2025-03-23
183,C005,Book,Books,5,15,2025-06-23
184,C034,Mixer,Home,3,80,2025-04-21
185,C045,Shirt,Fashion,2,25,2025-06-03
